Temperature,Magnetisation,Energy,CV,Susceptibility,SUS_error,CV_error
1.0,2498.276,-4993.228,0.022763,0.001517,9.2e-05,0.001323
1.1,2496.02,-4984.496,0.042751,0.003235,0.000167,0.001986
1.2,2492.42,-4970.944,0.068668,0.006169,0.00035,0.003418
1.3,2487.018,-4950.948,0.09815,0.009918,0.000472,0.004544
1.4,2478.54,-4920.872,0.152041,0.018111,0.000846,0.006676
1.5,2466.648,-4879.096,0.194216,0.026489,0.001208,0.008708
1.6,2448.804,-4819.16,0.267925,0.043592,0.001928,0.011595
1.7,2426.422,-4748.092,0.319571,0.062864,0.00305,0.013968
1.8,2392.1,-4646.492,0.446595,0.110227,0.005053,0.019224
1.9,2343.948,-4520.708,0.555101,0.201697,0.01098,0.023926
2.0,2278.272,-4367.12,0.723679,0.399029,0.024557,0.034119
2.1,2162.262,-4144.512,0.968489,1.072478,0.070325,0.043762
2.2,1974.91,-3869.284,1.412845,3.075005,0.14967,0.061014
2.3,1306.566,-3418.764,2.07728,267.815678,1.497426,0.092573
2.4,520.402,-3023.656,1.262772,68.869216,0.846045,0.060069
2.5,379.57,-2773.628,0.95746,34.577925,0.48649,0.043851
2.6,244.032,-2567.804,0.668746,14.611935,0.270106,0.030062
2.7,195.47,-2407.528,0.581763,8.744521,0.140928,0.026739
2.8,173.23,-2268.22,0.48598,6.650498,0.120261,0.020091
2.9,146.46,-2150.472,0.420076,4.504871,0.074518,0.017175
3.0,133.191589,-2045.943925,0.41859,3.573875,0.051332,0.019235
